name,err,absErr,midinote,pTag,pEst,pEstVar,salience
Bassoon B-3 Tenuto Non-Vibrato	162.83442027	162.83442027	39	248.064112676	410.898532946	80119.9343057	0.300791862085	
Bassoon B-3 Tenuto Vibrato	-6.04150787785	6.04150787785	39	248.064112676	242.022604799	5420.7839966	0.293763703411	
Bassoon C-2 Staccato Non-Vibrato	168.622273314	168.622273314	16	65.7036931039	234.325966418	25168.3702437	0.5908371092	
Bassoon C#-2 Staccato Non-Vibrato	252.964799846	252.964799846	17	69.6106380067	322.575437852	40911.0489112	0.577001256737	
Bassoon C#-2 Tenuto Non-Vibrato	363.44094028	363.44094028	17	69.6106380067	433.051578287	36282.2221632	0.53708465369	
Bassoon C-2 Tenuto Vibrato	338.457053682	338.457053682	16	65.7036931039	404.160746786	16671.5558334	0.629935808884	
Bassoon C#-2 Tenuto Vibrato	408.230120808	408.230120808	17	69.6106380067	477.840758815	76069.9053897	0.593920532495	
Bassoon C-3 Staccato Non-Vibrato	153.813639558	153.813639558	28	131.407386208	285.221025766	431266.621176	0.551773413359	
Bassoon C#-3 Staccato Non-Vibrato	59.5882528709	59.5882528709	29	139.221276013	198.809528884	13723.1098881	0.475848613796	
Bassoon C-3 Tenuto Non-Vibrato	56.6595434322	56.6595434322	28	131.407386208	188.06692964	122622.677255	0.558229031768	
Bassoon C#-3 Tenuto Non-Vibrato	199.092353235	199.092353235	29	139.221276013	338.313629249	18588.4346749	0.380839125579	
Bassoon C-3 Tenuto Vibrato	36.733003192	36.733003192	28	131.407386208	168.1403894	64542.1819021	0.614301984999	
Bassoon C#-3 Tenuto Vibrato	231.11707528	231.11707528	29	139.221276013	370.338351293	11056.283318	0.296070733552	
Bassoon C-4 Staccato Non-Vibrato	-81.8823592758	81.8823592758	40	262.814772416	180.93241314	7303.4328588	0.393339650637	
Bassoon C-4 Tenuto Non-Vibrato	65.5990914815	65.5990914815	40	262.814772416	328.413863897	326834.06611	0.384291611995	
Bassoon C-4 Tenuto Vibrato	16.8124253429	16.8124253429	40	262.814772416	279.627197759	23987.4359574	0.33084649814	
Bassoon D-2 Staccato Non-Vibrato	153.077267874	153.077267874	18	73.7499019429	226.827169817	24650.2528295	0.567084806362	
Bassoon D#-2 Staccato Non-Vibrato	99.4666027416	99.4666027416	19	78.1352993211	177.601902063	16553.306814	0.574475838212	
Bassoon D-2 Tenuto Non-Vibrato	365.566666013	365.566666013	18	73.7499019429	439.316567956	108376.782228	0.642391679321	
Bassoon D#-2 Tenuto Non-Vibrato	145.259298184	145.259298184	19	78.1352993211	223.394597505	116901.602985	0.648949145072	
Bassoon D-2 Tenuto Vibrato	327.772605529	327.772605529	18	73.7499019429	401.522507472	19718.0239922	0.618989335812	
Bassoon D#-2 Tenuto Vibrato	229.826016431	229.826016431	19	78.1352993211	307.961315752	46669.4649765	0.701689099582	
Bassoon D-3 Staccato Non-Vibrato	67.7606004048	67.7606004048	30	147.499803886	215.260404291	26092.5796851	0.487861853713	
Bassoon D#-3 Staccato Non-Vibrato	100.853579694	100.853579694	31	156.270598642	257.124178336	247555.878113	0.493398512467	
Bassoon D-3 Tenuto Non-Vibrato	21.7262728075	21.7262728075	30	147.499803886	169.226076693	35869.9065033	0.585356654357	
Bassoon D#-3 Tenuto Non-Vibrato	29.7795312046	29.7795312046	31	156.270598642	186.050129847	29979.2382453	0.597083693359	
Bassoon D-3 Tenuto Vibrato	16.0862119326	16.0862119326	30	147.499803886	163.586015818	9794.44180786	0.62930063745	
Bassoon D#-3 Tenuto Vibrato	8.32381707279	8.32381707279	31	156.270598642	164.594415715	4532.36044262	0.617908251011	
Bassoon E-2 Staccato Non-Vibrato	211.215430287	211.215430287	20	82.7814659974	293.996896285	108683.296134	0.553940764321	
Bassoon E-2 Tenuto Non-Vibrato	394.982877739	394.982877739	20	82.7814659974	477.764343736	78375.7612689	0.664211255828	
Bassoon E-2 Tenuto Vibrato	349.886990114	349.886990114	20	82.7814659974	432.668456112	40977.9529617	0.633190454369	
Bassoon E-3 Staccato Non-Vibrato	44.7906821415	44.7906821415	32	165.562931995	210.353614136	22598.0099789	0.437359336957	
Bassoon E-3 Tenuto Non-Vibrato	232.189939393	232.189939393	32	165.562931995	397.752871388	33175.0735865	0.32279686008	
Bassoon E-3 Tenuto Vibrato	236.044015884	236.044015884	32	165.562931995	401.606947879	24385.7484439	0.31406638738	
Bassoon F-2 Staccato Non-Vibrato	196.616012893	196.616012893	21	87.7039081212	284.319921014	112361.463002	0.506945830425	
Bassoon F#-2 Staccato Non-Vibrato	71.1334777328	71.1334777328	22	92.9190538855	164.052531618	53068.9151998	0.573439605793	
Bassoon F-2 Tenuto Non-Vibrato	400.135013543	400.135013543	21	87.7039081212	487.838921665	63779.7869083	0.587308880004	
Bassoon F#-2 Tenuto Non-Vibrato	82.7408932898	82.7408932898	22	92.9190538855	175.659947175	66236.5658781	0.679930235956	
Bassoon F-2 Tenuto Vibrato	47.8215487065	47.8215487065	21	87.7039081212	135.525456828	22265.0456347	0.727600486937	
Bassoon F#-2 Tenuto Vibrato	63.4549835722	63.4549835722	22	92.9190538855	156.374037458	26209.2727964	0.74827506202	
Bassoon F-3 Staccato Non-Vibrato	25.6522937258	25.6522937258	33	175.407816242	201.060109968	21382.8457133	0.397258538545	
Bassoon F#-3 Staccato Non-Vibrato	-17.4939448282	17.4939448282	34	185.838107771	168.344162943	8507.70576734	0.533894241247	
Bassoon F-3 Tenuto Non-Vibrato	10.5425203965	10.5425203965	33	175.407816242	185.950336639	6842.88404623	0.417861326085	
